____Interval NumberOfNACs            A
        0.02         0.00         0.00
        0.04         0.00         0.00
        0.06         0.00         0.00
        0.08         0.00         0.00
        0.10         0.00         0.00
        0.12         0.00         0.00
        0.14         0.00         0.00
        0.16         0.00         0.00
        0.18         0.00         0.00
        0.20         0.00         0.00
        0.22         0.00         0.00
        0.24         0.00         0.00
        0.26         0.00         0.00
        0.28         0.00         0.00
        0.30         0.00         0.00
        0.32         0.00         0.00
        0.34         0.00         0.00
        0.36         0.00         0.00
        0.38         0.00         0.00
        0.40         0.00         0.00
        0.42         0.00         0.00
        0.44         0.00         0.00
        0.46         0.00         0.00
        0.48         0.00         0.00
        0.50         0.00         0.00
        0.52         0.00         0.00
        0.54         0.00         0.00
        0.56         0.00         0.00
        0.58         0.00         0.00
        0.60         0.00         0.00
        0.62         0.00         0.00
        0.64         0.00         0.00
        0.66         0.00         0.00
        0.68         0.00         0.00
        0.70         0.00         0.00
        0.72         0.00         0.00
        0.74         0.00         0.00
        0.76         0.00         0.00
        0.78         0.00         0.00
        0.80         0.00         0.00
        0.82         0.00         0.00
        0.84         0.00         0.00
        0.86         0.00         0.00
        0.88         0.00         0.00
        0.90         0.00         0.00
        0.92         0.00         0.00
        0.94         0.00         0.00
        0.96         0.00         0.00
        0.98         0.00         0.00
        1.00         0.00         0.00
        1.02         0.00         0.00
        1.04         0.00         0.00
        1.06         0.00         0.00
        1.08         0.00         0.00
        1.10         0.00         0.00
        1.12         0.00         0.00
        1.14         0.00         0.00
        1.16         0.00         0.00
        1.18         0.00         0.00
        1.20         0.00         0.00
        1.22         0.00         0.00
        1.24         0.00         0.00
        1.26         0.00         0.00
        1.28         0.00         0.00
        1.30         0.00         0.00
        1.32         0.00         0.00
        1.34         0.00         0.00
        1.36         0.00         0.00
        1.38         0.00         0.00
        1.40         0.00         0.00
        1.42         0.00         0.00
        1.44         0.00         0.00
        1.46         0.00         0.00
        1.48         0.00         0.00
        1.50         0.00         0.00
        1.52         0.00         0.00
        1.54         0.00         0.00
        1.56         0.00         0.00
        1.58         0.00         0.00
        1.60         0.00         0.00
        1.62         0.00         0.00
        1.64         0.00         0.00
        1.66         0.00         0.00
        1.68         0.00         0.00
        1.70         0.00         0.00
        1.72         0.00         0.00
        1.74         0.00         0.00
        1.76         0.00         0.00
        1.78         0.00         0.00
        1.80         0.00         0.00
        1.82         0.00         0.00
        1.84         0.00         0.00
        1.86         0.00         0.00
        1.88         0.00         0.00
        1.90         0.00         0.00
        1.92         0.00         0.00
        1.94         0.00         0.00
        1.96         0.00         0.00
        1.98         0.00         0.00
        2.00         0.00         0.00
        2.02         0.00         0.00
        2.04         0.00         0.00
